 AgntStrts: ,17, EstInteractns: ,800, InteractnsHndld: ,798, HndlTme: ,8.5, ASR: ,10.84, EstUtil: ,0.83, Tmestmp: ,9/12/2023 8:19:28
 AgntStrts: ,18, EstInteractns: ,800, InteractnsHndld: ,796, HndlTme: ,8.5, ASR: ,8.58, EstUtil: ,0.78, Tmestmp: ,9/12/2023 8:19:32
 AgntStrts: ,19, EstInteractns: ,800, InteractnsHndld: ,798, HndlTme: ,8.5, ASR: ,8.57, EstUtil: ,0.74, Tmestmp: ,9/12/2023 8:19:38
 AgntStrts: ,20, EstInteractns: ,800, InteractnsHndld: ,800, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.71, Tmestmp: ,9/12/2023 8:19:44
 AgntStrts: ,21, EstInteractns: ,800, InteractnsHndld: ,798, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.67, Tmestmp: ,9/12/2023 8:19:49
 AgntStrts: ,22, EstInteractns: ,800, InteractnsHndld: ,797, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.64, Tmestmp: ,9/12/2023 8:19:54
 AgntStrts: ,23, EstInteractns: ,800, InteractnsHndld: ,798, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.61, Tmestmp: ,9/12/2023 8:19:59
 AgntStrts: ,24, EstInteractns: ,800, InteractnsHndld: ,798, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.59, Tmestmp: ,9/12/2023 8:20:4
 AgntStrts: ,17, EstInteractns: ,850, InteractnsHndld: ,848, HndlTme: ,8.5, ASR: ,15.84, EstUtil: ,0.88, Tmestmp: ,9/12/2023 8:20:9
 AgntStrts: ,18, EstInteractns: ,850, InteractnsHndld: ,850, HndlTme: ,8.5, ASR: ,9.25, EstUtil: ,0.84, Tmestmp: ,9/12/2023 8:20:16
 AgntStrts: ,19, EstInteractns: ,850, InteractnsHndld: ,848, HndlTme: ,8.5, ASR: ,8.97, EstUtil: ,0.79, Tmestmp: ,9/12/2023 8:20:22
 AgntStrts: ,20, EstInteractns: ,850, InteractnsHndld: ,847, HndlTme: ,8.5, ASR: ,8.56, EstUtil: ,0.75, Tmestmp: ,9/12/2023 8:20:27
 AgntStrts: ,21, EstInteractns: ,850, InteractnsHndld: ,849, HndlTme: ,8.5, ASR: ,8.53, EstUtil: ,0.72, Tmestmp: ,9/12/2023 8:20:32
 AgntStrts: ,22, EstInteractns: ,850, InteractnsHndld: ,850, HndlTme: ,8.5, ASR: ,8.53, EstUtil: ,0.68, Tmestmp: ,9/12/2023 8:20:37
