 AgntStrts: ,17, EstInteractns: ,800, InteractnsHndld: ,800, HndlTme: ,8.5, ASR: ,10.89, EstUtil: ,0.83, Tmestmp: ,9/12/2023 15:31:30
 AgntStrts: ,18, EstInteractns: ,800, InteractnsHndld: ,799, HndlTme: ,8.5, ASR: ,8.58, EstUtil: ,0.79, Tmestmp: ,9/12/2023 15:31:31
 AgntStrts: ,19, EstInteractns: ,800, InteractnsHndld: ,798, HndlTme: ,8.5, ASR: ,8.59, EstUtil: ,0.74, Tmestmp: ,9/12/2023 15:31:33
 AgntStrts: ,20, EstInteractns: ,800, InteractnsHndld: ,800, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.71, Tmestmp: ,9/12/2023 15:31:36
 AgntStrts: ,21, EstInteractns: ,800, InteractnsHndld: ,797, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.67, Tmestmp: ,9/12/2023 15:31:41
 AgntStrts: ,22, EstInteractns: ,800, InteractnsHndld: ,797, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.64, Tmestmp: ,9/12/2023 15:31:45
 AgntStrts: ,23, EstInteractns: ,800, InteractnsHndld: ,796, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.61, Tmestmp: ,9/12/2023 15:31:48
 AgntStrts: ,24, EstInteractns: ,800, InteractnsHndld: ,796, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.59, Tmestmp: ,9/12/2023 15:31:51
 AgntStrts: ,25, EstInteractns: ,800, InteractnsHndld: ,800, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.57, Tmestmp: ,9/12/2023 15:31:54
 AgntStrts: ,26, EstInteractns: ,800, InteractnsHndld: ,799, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.54, Tmestmp: ,9/12/2023 15:31:57
 AgntStrts: ,27, EstInteractns: ,800, InteractnsHndld: ,796, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.52, Tmestmp: ,9/12/2023 15:31:59
 AgntStrts: ,28, EstInteractns: ,800, InteractnsHndld: ,797, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.5, Tmestmp: ,9/12/2023 15:32:2
 AgntStrts: ,29, EstInteractns: ,800, InteractnsHndld: ,797, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.49, Tmestmp: ,9/12/2023 15:32:5
 AgntStrts: ,30, EstInteractns: ,800, InteractnsHndld: ,797, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.47, Tmestmp: ,9/12/2023 15:32:8
 AgntStrts: ,17, EstInteractns: ,850, InteractnsHndld: ,850, HndlTme: ,8.5, ASR: ,16.26, EstUtil: ,0.89, Tmestmp: ,9/12/2023 15:32:11
 AgntStrts: ,18, EstInteractns: ,850, InteractnsHndld: ,849, HndlTme: ,8.5, ASR: ,9.27, EstUtil: ,0.84, Tmestmp: ,9/12/2023 15:32:14
 AgntStrts: ,19, EstInteractns: ,850, InteractnsHndld: ,848, HndlTme: ,8.5, ASR: ,8.99, EstUtil: ,0.79, Tmestmp: ,9/12/2023 15:32:17
 AgntStrts: ,20, EstInteractns: ,850, InteractnsHndld: ,850, HndlTme: ,8.5, ASR: ,8.55, EstUtil: ,0.75, Tmestmp: ,9/12/2023 15:32:19
 AgntStrts: ,21, EstInteractns: ,850, InteractnsHndld: ,849, HndlTme: ,8.5, ASR: ,8.53, EstUtil: ,0.72, Tmestmp: ,9/12/2023 15:32:22
 AgntStrts: ,22, EstInteractns: ,850, InteractnsHndld: ,849, HndlTme: ,8.5, ASR: ,8.53, EstUtil: ,0.68, Tmestmp: ,9/12/2023 15:32:25
 AgntStrts: ,23, EstInteractns: ,850, InteractnsHndld: ,850, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.65, Tmestmp: ,9/12/2023 15:32:28
 AgntStrts: ,24, EstInteractns: ,850, InteractnsHndld: ,847, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.63, Tmestmp: ,9/12/2023 15:32:30
 AgntStrts: ,25, EstInteractns: ,850, InteractnsHndld: ,848, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.6, Tmestmp: ,9/12/2023 15:32:33
 AgntStrts: ,26, EstInteractns: ,850, InteractnsHndld: ,847, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.58, Tmestmp: ,9/12/2023 15:32:36
 AgntStrts: ,27, EstInteractns: ,850, InteractnsHndld: ,846, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.56, Tmestmp: ,9/12/2023 15:32:39
 AgntStrts: ,28, EstInteractns: ,850, InteractnsHndld: ,848, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.54, Tmestmp: ,9/12/2023 15:32:42
 AgntStrts: ,29, EstInteractns: ,850, InteractnsHndld: ,846, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.52, Tmestmp: ,9/12/2023 15:32:44
 AgntStrts: ,30, EstInteractns: ,850, InteractnsHndld: ,849, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.5, Tmestmp: ,9/12/2023 15:32:47
 AgntStrts: ,17, EstInteractns: ,900, InteractnsHndld: ,897, HndlTme: ,8.5, ASR: ,24.86, EstUtil: ,0.93, Tmestmp: ,9/12/2023 15:32:50
 AgntStrts: ,18, EstInteractns: ,900, InteractnsHndld: ,894, HndlTme: ,8.5, ASR: ,11.3, EstUtil: ,0.88, Tmestmp: ,9/12/2023 15:32:52
 AgntStrts: ,19, EstInteractns: ,900, InteractnsHndld: ,896, HndlTme: ,8.5, ASR: ,10.37, EstUtil: ,0.84, Tmestmp: ,9/12/2023 15:32:55
 AgntStrts: ,20, EstInteractns: ,900, InteractnsHndld: ,895, HndlTme: ,8.5, ASR: ,8.76, EstUtil: ,0.79, Tmestmp: ,9/12/2023 15:32:58
 AgntStrts: ,21, EstInteractns: ,900, InteractnsHndld: ,894, HndlTme: ,8.5, ASR: ,8.57, EstUtil: ,0.75, Tmestmp: ,9/12/2023 15:33:2
 AgntStrts: ,22, EstInteractns: ,900, InteractnsHndld: ,895, HndlTme: ,8.5, ASR: ,8.57, EstUtil: ,0.72, Tmestmp: ,9/12/2023 15:33:6
 AgntStrts: ,23, EstInteractns: ,900, InteractnsHndld: ,895, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.69, Tmestmp: ,9/12/2023 15:33:9
 AgntStrts: ,24, EstInteractns: ,900, InteractnsHndld: ,895, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.66, Tmestmp: ,9/12/2023 15:33:13
 AgntStrts: ,25, EstInteractns: ,900, InteractnsHndld: ,894, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.63, Tmestmp: ,9/12/2023 15:33:15
 AgntStrts: ,26, EstInteractns: ,900, InteractnsHndld: ,896, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.61, Tmestmp: ,9/12/2023 15:33:18
 AgntStrts: ,27, EstInteractns: ,900, InteractnsHndld: ,894, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.59, Tmestmp: ,9/12/2023 15:33:21
 AgntStrts: ,28, EstInteractns: ,900, InteractnsHndld: ,895, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.57, Tmestmp: ,9/12/2023 15:33:23
 AgntStrts: ,29, EstInteractns: ,900, InteractnsHndld: ,895, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.55, Tmestmp: ,9/12/2023 15:33:26
 AgntStrts: ,30, EstInteractns: ,900, InteractnsHndld: ,897, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.53, Tmestmp: ,9/12/2023 15:33:29
 AgntStrts: ,17, EstInteractns: ,950, InteractnsHndld: ,945, HndlTme: ,8.5, ASR: ,53.77, EstUtil: ,1.0, Tmestmp: ,9/12/2023 15:33:32
 AgntStrts: ,18, EstInteractns: ,950, InteractnsHndld: ,951, HndlTme: ,8.5, ASR: ,18.83, EstUtil: ,0.94, Tmestmp: ,9/12/2023 15:33:35
 AgntStrts: ,19, EstInteractns: ,950, InteractnsHndld: ,954, HndlTme: ,8.5, ASR: ,15.28, EstUtil: ,0.89, Tmestmp: ,9/12/2023 15:33:38
 AgntStrts: ,20, EstInteractns: ,950, InteractnsHndld: ,949, HndlTme: ,8.5, ASR: ,9.86, EstUtil: ,0.84, Tmestmp: ,9/12/2023 15:33:41
 AgntStrts: ,21, EstInteractns: ,950, InteractnsHndld: ,951, HndlTme: ,8.5, ASR: ,8.83, EstUtil: ,0.8, Tmestmp: ,9/12/2023 15:33:44
 AgntStrts: ,22, EstInteractns: ,950, InteractnsHndld: ,950, HndlTme: ,8.5, ASR: ,8.83, EstUtil: ,0.76, Tmestmp: ,9/12/2023 15:33:47
 AgntStrts: ,23, EstInteractns: ,950, InteractnsHndld: ,950, HndlTme: ,8.5, ASR: ,8.5, EstUtil: ,0.73, Tmestmp: ,9/12/2023 15:33:50
