 AgntStrts: ,20, EstInteractns: ,1019, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,76.21, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:56:6
 AgntStrts: ,21, EstInteractns: ,1019, InteractnsHndld: ,1028, HndlTme: ,9.9, ASR: ,48.53, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:56:11
 AgntStrts: ,22, EstInteractns: ,1019, InteractnsHndld: ,1030, HndlTme: ,9.9, ASR: ,30.54, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:56:16
 AgntStrts: ,23, EstInteractns: ,1019, InteractnsHndld: ,1029, HndlTme: ,9.9, ASR: ,14.95, EstUtil: ,0.92, Tmestmp: ,9/28/2023 13:56:20
 AgntStrts: ,24, EstInteractns: ,1019, InteractnsHndld: ,1029, HndlTme: ,9.9, ASR: ,14.93, EstUtil: ,0.88, Tmestmp: ,9/28/2023 13:56:24
 AgntStrts: ,25, EstInteractns: ,1019, InteractnsHndld: ,1030, HndlTme: ,9.9, ASR: ,10.78, EstUtil: ,0.85, Tmestmp: ,9/28/2023 13:56:27
 AgntStrts: ,26, EstInteractns: ,1019, InteractnsHndld: ,1030, HndlTme: ,9.9, ASR: ,10.13, EstUtil: ,0.82, Tmestmp: ,9/28/2023 13:56:31
 AgntStrts: ,27, EstInteractns: ,1019, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,10.13, EstUtil: ,0.78, Tmestmp: ,9/28/2023 13:56:35
 AgntStrts: ,28, EstInteractns: ,1019, InteractnsHndld: ,1030, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.76, Tmestmp: ,9/28/2023 13:56:39
 AgntStrts: ,29, EstInteractns: ,1019, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.73, Tmestmp: ,9/28/2023 13:56:44
 AgntStrts: ,30, EstInteractns: ,1019, InteractnsHndld: ,1028, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.71, Tmestmp: ,9/28/2023 13:56:47
 AgntStrts: ,20, EstInteractns: ,1019, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,76.06, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:56:51
 AgntStrts: ,21, EstInteractns: ,1019, InteractnsHndld: ,1026, HndlTme: ,9.9, ASR: ,48.56, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:56:55
 AgntStrts: ,22, EstInteractns: ,1019, InteractnsHndld: ,1028, HndlTme: ,9.9, ASR: ,29.65, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:56:59
 AgntStrts: ,23, EstInteractns: ,1019, InteractnsHndld: ,1028, HndlTme: ,9.9, ASR: ,15.09, EstUtil: ,0.92, Tmestmp: ,9/28/2023 13:57:3
 AgntStrts: ,24, EstInteractns: ,1019, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,14.92, EstUtil: ,0.88, Tmestmp: ,9/28/2023 13:57:6
 AgntStrts: ,25, EstInteractns: ,1019, InteractnsHndld: ,1028, HndlTme: ,9.9, ASR: ,10.84, EstUtil: ,0.85, Tmestmp: ,9/28/2023 13:57:10
 AgntStrts: ,26, EstInteractns: ,1019, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,10.15, EstUtil: ,0.82, Tmestmp: ,9/28/2023 13:57:13
 AgntStrts: ,27, EstInteractns: ,1019, InteractnsHndld: ,1026, HndlTme: ,9.9, ASR: ,10.13, EstUtil: ,0.78, Tmestmp: ,9/28/2023 13:57:17
 AgntStrts: ,28, EstInteractns: ,1019, InteractnsHndld: ,1029, HndlTme: ,9.9, ASR: ,9.91, EstUtil: ,0.76, Tmestmp: ,9/28/2023 13:57:21
 AgntStrts: ,29, EstInteractns: ,1019, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.73, Tmestmp: ,9/28/2023 13:57:25
 AgntStrts: ,30, EstInteractns: ,1019, InteractnsHndld: ,1026, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.71, Tmestmp: ,9/28/2023 13:57:28
 AgntStrts: ,20, EstInteractns: ,1031, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,82.41, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:57:33
 AgntStrts: ,21, EstInteractns: ,1031, InteractnsHndld: ,1031, HndlTme: ,9.9, ASR: ,58.57, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:57:37
 AgntStrts: ,22, EstInteractns: ,1031, InteractnsHndld: ,1048, HndlTme: ,9.9, ASR: ,34.46, EstUtil: ,1.0, Tmestmp: ,9/28/2023 13:57:41
 AgntStrts: ,23, EstInteractns: ,1031, InteractnsHndld: ,1044, HndlTme: ,9.9, ASR: ,16.89, EstUtil: ,0.94, Tmestmp: ,9/28/2023 13:57:45
