 AgntStrts: ,20, EstInteractns: ,932, InteractnsHndld: ,934, HndlTme: ,9.9, ASR: ,30.29, EstUtil: ,1, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,21, EstInteractns: ,932, InteractnsHndld: ,934, HndlTme: ,9.9, ASR: ,20.17, EstUtil: ,0.92, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,22, EstInteractns: ,932, InteractnsHndld: ,936, HndlTme: ,9.9, ASR: ,15.38, EstUtil: ,0.88, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,23, EstInteractns: ,932, InteractnsHndld: ,932, HndlTme: ,9.9, ASR: ,10.49, EstUtil: ,0.84, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,24, EstInteractns: ,932, InteractnsHndld: ,934, HndlTme: ,9.9, ASR: ,10.51, EstUtil: ,0.8, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,25, EstInteractns: ,932, InteractnsHndld: ,934, HndlTme: ,9.9, ASR: ,10.01, EstUtil: ,0.77, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,26, EstInteractns: ,932, InteractnsHndld: ,933, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.74, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,27, EstInteractns: ,932, InteractnsHndld: ,933, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.71, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,28, EstInteractns: ,932, InteractnsHndld: ,933, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.69, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,29, EstInteractns: ,932, InteractnsHndld: ,934, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.66, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,30, EstInteractns: ,932, InteractnsHndld: ,934, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.64, Tmestmp: ,9/29/2023 7:26
 AgntStrts: ,20, EstInteractns: ,932, InteractnsHndld: ,933, HndlTme: ,9.9, ASR: ,30.16, EstUtil: ,1, Tmestmp: ,9/29/2023 7:26
