 AgntStrts: ,19, EstInteractns: ,959, InteractnsHndld: ,944, HndlTme: ,9.9, ASR: ,74.51, EstUtil: ,1.0, Tmestmp: ,12/12/2023 13:42:25
 AgntStrts: ,20, EstInteractns: ,959, InteractnsHndld: ,959, HndlTme: ,9.9, ASR: ,42.82, EstUtil: ,1.0, Tmestmp: ,12/12/2023 13:42:34
 AgntStrts: ,21, EstInteractns: ,959, InteractnsHndld: ,959, HndlTme: ,9.9, ASR: ,25.87, EstUtil: ,0.94, Tmestmp: ,12/12/2023 13:42:42
 AgntStrts: ,22, EstInteractns: ,959, InteractnsHndld: ,959, HndlTme: ,9.9, ASR: ,18.68, EstUtil: ,0.9, Tmestmp: ,12/12/2023 13:42:50
 AgntStrts: ,23, EstInteractns: ,959, InteractnsHndld: ,958, HndlTme: ,9.9, ASR: ,10.91, EstUtil: ,0.86, Tmestmp: ,12/12/2023 13:42:57
 AgntStrts: ,24, EstInteractns: ,959, InteractnsHndld: ,959, HndlTme: ,9.9, ASR: ,10.91, EstUtil: ,0.82, Tmestmp: ,12/12/2023 13:43:6
 AgntStrts: ,25, EstInteractns: ,959, InteractnsHndld: ,958, HndlTme: ,9.9, ASR: ,10.14, EstUtil: ,0.79, Tmestmp: ,12/12/2023 13:43:14
 AgntStrts: ,26, EstInteractns: ,959, InteractnsHndld: ,958, HndlTme: ,9.9, ASR: ,9.94, EstUtil: ,0.76, Tmestmp: ,12/12/2023 13:43:25
 AgntStrts: ,27, EstInteractns: ,959, InteractnsHndld: ,959, HndlTme: ,9.9, ASR: ,9.92, EstUtil: ,0.73, Tmestmp: ,12/12/2023 13:43:35
 AgntStrts: ,28, EstInteractns: ,959, InteractnsHndld: ,959, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.71, Tmestmp: ,12/12/2023 13:43:43
 AgntStrts: ,29, EstInteractns: ,959, InteractnsHndld: ,959, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.68, Tmestmp: ,12/12/2023 13:43:50
 AgntStrts: ,30, EstInteractns: ,959, InteractnsHndld: ,961, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.66, Tmestmp: ,12/12/2023 13:43:58
 AgntStrts: ,19, EstInteractns: ,985, InteractnsHndld: ,944, HndlTme: ,9.9, ASR: ,84.61, EstUtil: ,1.0, Tmestmp: ,12/12/2023 13:44:9
 AgntStrts: ,20, EstInteractns: ,985, InteractnsHndld: ,974, HndlTme: ,9.9, ASR: ,55.44, EstUtil: ,1.0, Tmestmp: ,12/12/2023 13:44:21
 AgntStrts: ,21, EstInteractns: ,985, InteractnsHndld: ,976, HndlTme: ,9.9, ASR: ,30.68, EstUtil: ,1.0, Tmestmp: ,12/12/2023 13:44:33
 AgntStrts: ,22, EstInteractns: ,985, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,21.94, EstUtil: ,0.92, Tmestmp: ,12/12/2023 13:44:42
 AgntStrts: ,23, EstInteractns: ,985, InteractnsHndld: ,979, HndlTme: ,9.9, ASR: ,11.96, EstUtil: ,0.88, Tmestmp: ,12/12/2023 13:44:49
 AgntStrts: ,24, EstInteractns: ,985, InteractnsHndld: ,979, HndlTme: ,9.9, ASR: ,12.01, EstUtil: ,0.84, Tmestmp: ,12/12/2023 13:44:56
 AgntStrts: ,25, EstInteractns: ,985, InteractnsHndld: ,980, HndlTme: ,9.9, ASR: ,10.36, EstUtil: ,0.81, Tmestmp: ,12/12/2023 13:45:5
 AgntStrts: ,26, EstInteractns: ,985, InteractnsHndld: ,980, HndlTme: ,9.9, ASR: ,10.01, EstUtil: ,0.78, Tmestmp: ,12/12/2023 13:45:11
 AgntStrts: ,27, EstInteractns: ,985, InteractnsHndld: ,979, HndlTme: ,9.9, ASR: ,10.0, EstUtil: ,0.75, Tmestmp: ,12/12/2023 13:45:19
 AgntStrts: ,28, EstInteractns: ,985, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.72, Tmestmp: ,12/12/2023 13:45:28
 AgntStrts: ,29, EstInteractns: ,985, InteractnsHndld: ,981, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.7, Tmestmp: ,12/12/2023 13:45:35
 AgntStrts: ,30, EstInteractns: ,985, InteractnsHndld: ,979, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.67, Tmestmp: ,12/12/2023 13:45:40
 AgntStrts: ,19, EstInteractns: ,1002, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,91.19, EstUtil: ,1.0, Tmestmp: ,12/12/2023 13:45:49
 AgntStrts: ,20, EstInteractns: ,1002, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,65.81, EstUtil: ,1.0, Tmestmp: ,12/12/2023 13:45:57
 AgntStrts: ,21, EstInteractns: ,1002, InteractnsHndld: ,1008, HndlTme: ,9.9, ASR: ,37.12, EstUtil: ,1.0, Tmestmp: ,12/12/2023 13:46:5
 AgntStrts: ,22, EstInteractns: ,1002, InteractnsHndld: ,1007, HndlTme: ,9.9, ASR: ,25.6, EstUtil: ,0.94, Tmestmp: ,12/12/2023 13:46:12
 AgntStrts: ,23, EstInteractns: ,1002, InteractnsHndld: ,1006, HndlTme: ,9.9, ASR: ,13.23, EstUtil: ,0.9, Tmestmp: ,12/12/2023 13:46:18
 AgntStrts: ,24, EstInteractns: ,1002, InteractnsHndld: ,1005, HndlTme: ,9.9, ASR: ,12.97, EstUtil: ,0.86, Tmestmp: ,12/12/2023 13:46:26
 AgntStrts: ,25, EstInteractns: ,1002, InteractnsHndld: ,1008, HndlTme: ,9.9, ASR: ,10.44, EstUtil: ,0.83, Tmestmp: ,12/12/2023 13:46:33
 AgntStrts: ,26, EstInteractns: ,1002, InteractnsHndld: ,1006, HndlTme: ,9.9, ASR: ,10.04, EstUtil: ,0.8, Tmestmp: ,12/12/2023 13:46:41
