
 AgntStrts: ,18, EstInteractns: ,1020, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,103.12, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:18:25
 AgntStrts: ,18, EstInteractns: ,982, InteractnsHndld: ,865, HndlTme: ,9.9, ASR: ,92.77, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:18:26
 AgntStrts: ,18, EstInteractns: ,932, InteractnsHndld: ,865, HndlTme: ,9.9, ASR: ,76.83, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:18:29
 AgntStrts: ,18, EstInteractns: ,1020, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,104.09, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:19:34
 AgntStrts: ,18, EstInteractns: ,988, InteractnsHndld: ,865, HndlTme: ,9.9, ASR: ,93.56, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:19:37
 AgntStrts: ,18, EstInteractns: ,932, InteractnsHndld: ,865, HndlTme: ,9.9, ASR: ,77.13, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:19:41
 AgntStrts: ,18, EstInteractns: ,1031, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,108.08, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:20:43
 AgntStrts: ,18, EstInteractns: ,995, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,96.74, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:20:45
 AgntStrts: ,18, EstInteractns: ,932, InteractnsHndld: ,865, HndlTme: ,9.9, ASR: ,76.88, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:20:49
 AgntStrts: ,18, EstInteractns: ,1117, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,124.89, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:23:26
 AgntStrts: ,18, EstInteractns: ,1048, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,109.9, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:23:28
 AgntStrts: ,18, EstInteractns: ,1004, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,98.24, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:23:31
 AgntStrts: ,18, EstInteractns: ,1117, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,126.08, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:24:18
 AgntStrts: ,18, EstInteractns: ,1055, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,111.17, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:24:23
 AgntStrts: ,18, EstInteractns: ,1012, InteractnsHndld: ,868, HndlTme: ,9.9, ASR: ,102.5, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:24:28
 AgntStrts: ,19, EstInteractns: ,1031, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,105.78, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:26:38
 AgntStrts: ,19, EstInteractns: ,995, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,91.43, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:26:44
 AgntStrts: ,19, EstInteractns: ,932, InteractnsHndld: ,932, HndlTme: ,9.9, ASR: ,56.99, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:26:48
 AgntStrts: ,22, EstInteractns: ,1117, InteractnsHndld: ,1085, HndlTme: ,9.9, ASR: ,69.57, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:28:1
 AgntStrts: ,22, EstInteractns: ,1048, InteractnsHndld: ,1055, HndlTme: ,9.9, ASR: ,37.77, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:28:6
 AgntStrts: ,22, EstInteractns: ,1004, InteractnsHndld: ,1007, HndlTme: ,9.9, ASR: ,24.99, EstUtil: ,0.94, Tmestmp: ,10/12/2023 8:28:10
 AgntStrts: ,23, EstInteractns: ,1117, InteractnsHndld: ,1122, HndlTme: ,9.9, ASR: ,34.34, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:29:26
 AgntStrts: ,23, EstInteractns: ,1055, InteractnsHndld: ,1056, HndlTme: ,9.9, ASR: ,18.96, EstUtil: ,0.95, Tmestmp: ,10/12/2023 8:29:30
 AgntStrts: ,23, EstInteractns: ,1012, InteractnsHndld: ,1022, HndlTme: ,9.9, ASR: ,14.59, EstUtil: ,0.92, Tmestmp: ,10/12/2023 8:29:34
 AgntStrts: ,24, EstInteractns: ,1117, InteractnsHndld: ,1119, HndlTme: ,9.9, ASR: ,28.45, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:40:1
 AgntStrts: ,24, EstInteractns: ,1062, InteractnsHndld: ,1071, HndlTme: ,9.9, ASR: ,19.24, EstUtil: ,0.92, Tmestmp: ,10/12/2023 8:40:7
 AgntStrts: ,24, EstInteractns: ,1019, InteractnsHndld: ,1030, HndlTme: ,9.9, ASR: ,14.87, EstUtil: ,0.89, Tmestmp: ,10/12/2023 8:40:12
 AgntStrts: ,25, EstInteractns: ,1153, InteractnsHndld: ,1156, HndlTme: ,9.9, ASR: ,22.02, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:47:15
 AgntStrts: ,25, EstInteractns: ,1101, InteractnsHndld: ,1113, HndlTme: ,9.9, ASR: ,15.89, EstUtil: ,0.92, Tmestmp: ,10/12/2023 8:47:20
 AgntStrts: ,25, EstInteractns: ,1027, InteractnsHndld: ,1028, HndlTme: ,9.9, ASR: ,10.86, EstUtil: ,0.85, Tmestmp: ,10/12/2023 8:47:24
 AgntStrts: ,25, EstInteractns: ,1153, InteractnsHndld: ,1155, HndlTme: ,9.9, ASR: ,22.25, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:48:36
 AgntStrts: ,25, EstInteractns: ,1108, InteractnsHndld: ,1113, HndlTme: ,9.9, ASR: ,16.82, EstUtil: ,0.92, Tmestmp: ,10/12/2023 8:48:41
 AgntStrts: ,25, EstInteractns: ,1034, InteractnsHndld: ,1046, HndlTme: ,9.9, ASR: ,11.28, EstUtil: ,0.86, Tmestmp: ,10/12/2023 8:48:47
 AgntStrts: ,26, EstInteractns: ,1154, InteractnsHndld: ,1161, HndlTme: ,9.9, ASR: ,18.29, EstUtil: ,0.92, Tmestmp: ,10/12/2023 8:50:18
 AgntStrts: ,26, EstInteractns: ,1115, InteractnsHndld: ,1120, HndlTme: ,9.9, ASR: ,13.66, EstUtil: ,0.89, Tmestmp: ,10/12/2023 8:50:24
 AgntStrts: ,26, EstInteractns: ,1042, InteractnsHndld: ,1052, HndlTme: ,9.9, ASR: ,10.54, EstUtil: ,0.83, Tmestmp: ,10/12/2023 8:50:29
 AgntStrts: ,26, EstInteractns: ,1176, InteractnsHndld: ,1187, HndlTme: ,9.9, ASR: ,22.27, EstUtil: ,0.94, Tmestmp: ,10/12/2023 8:51:19
 AgntStrts: ,26, EstInteractns: ,1130, InteractnsHndld: ,1142, HndlTme: ,9.9, ASR: ,15.15, EstUtil: ,0.91, Tmestmp: ,10/12/2023 8:51:23
 AgntStrts: ,26, EstInteractns: ,1049, InteractnsHndld: ,1055, HndlTme: ,9.9, ASR: ,10.67, EstUtil: ,0.84, Tmestmp: ,10/12/2023 8:51:28
 AgntStrts: ,26, EstInteractns: ,1199, InteractnsHndld: ,1200, HndlTme: ,9.9, ASR: ,24.59, EstUtil: ,1.0, Tmestmp: ,10/12/2023 8:53:4
