 AgntStrts: ,10, EstInteractns: ,949, InteractnsHndld: ,487, HndlTme: ,9.9, ASR: ,231.74, EstUtil: ,1, Tmestmp: ,12/14/2023 11:42
 AgntStrts: ,11, EstInteractns: ,949, InteractnsHndld: ,541, HndlTme: ,9.9, ASR: ,214.61, EstUtil: ,1, Tmestmp: ,12/14/2023 11:42
 AgntStrts: ,12, EstInteractns: ,949, InteractnsHndld: ,589, HndlTme: ,9.9, ASR: ,193.87, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,13, EstInteractns: ,949, InteractnsHndld: ,637, HndlTme: ,9.9, ASR: ,169.44, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,14, EstInteractns: ,949, InteractnsHndld: ,704, HndlTme: ,9.9, ASR: ,162.31, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,15, EstInteractns: ,949, InteractnsHndld: ,758, HndlTme: ,9.9, ASR: ,141.6, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,16, EstInteractns: ,949, InteractnsHndld: ,799, HndlTme: ,9.9, ASR: ,123.89, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,17, EstInteractns: ,949, InteractnsHndld: ,811, HndlTme: ,9.9, ASR: ,106.08, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,18, EstInteractns: ,949, InteractnsHndld: ,865, HndlTme: ,9.9, ASR: ,81.91, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,19, EstInteractns: ,949, InteractnsHndld: ,944, HndlTme: ,9.9, ASR: ,69.22, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,20, EstInteractns: ,949, InteractnsHndld: ,952, HndlTme: ,9.9, ASR: ,37.47, EstUtil: ,1, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,21, EstInteractns: ,949, InteractnsHndld: ,951, HndlTme: ,9.9, ASR: ,22.85, EstUtil: ,0.93, Tmestmp: ,12/14/2023 11:43
 AgntStrts: ,22, EstInteractns: ,949, InteractnsHndld: ,952, HndlTme: ,9.9, ASR: ,16.76, EstUtil: ,0.89, Tmestmp: ,12/14/2023 11:43
