 AgntStrts: ,20, EstInteractns: ,981, InteractnsHndld: ,973, HndlTme: ,9.9, ASR: ,53.83, EstUtil: ,1.0, Tmestmp: ,9/29/2023 7:11:2
 AgntStrts: ,21, EstInteractns: ,981, InteractnsHndld: ,983, HndlTme: ,9.9, ASR: ,32.13, EstUtil: ,1.0, Tmestmp: ,9/29/2023 7:11:4
 AgntStrts: ,22, EstInteractns: ,981, InteractnsHndld: ,982, HndlTme: ,9.9, ASR: ,22.49, EstUtil: ,0.92, Tmestmp: ,9/29/2023 7:11:8
 AgntStrts: ,23, EstInteractns: ,981, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,11.69, EstUtil: ,0.88, Tmestmp: ,9/29/2023 7:11:11
 AgntStrts: ,24, EstInteractns: ,981, InteractnsHndld: ,979, HndlTme: ,9.9, ASR: ,12.0, EstUtil: ,0.84, Tmestmp: ,9/29/2023 7:11:14
 AgntStrts: ,25, EstInteractns: ,981, InteractnsHndld: ,979, HndlTme: ,9.9, ASR: ,10.28, EstUtil: ,0.81, Tmestmp: ,9/29/2023 7:11:17
 AgntStrts: ,26, EstInteractns: ,981, InteractnsHndld: ,981, HndlTme: ,9.9, ASR: ,10.01, EstUtil: ,0.78, Tmestmp: ,9/29/2023 7:11:20
 AgntStrts: ,27, EstInteractns: ,981, InteractnsHndld: ,981, HndlTme: ,9.9, ASR: ,9.99, EstUtil: ,0.75, Tmestmp: ,9/29/2023 7:11:23
 AgntStrts: ,28, EstInteractns: ,981, InteractnsHndld: ,980, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.72, Tmestmp: ,9/29/2023 7:11:25
 AgntStrts: ,29, EstInteractns: ,981, InteractnsHndld: ,980, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.7, Tmestmp: ,9/29/2023 7:11:28
 AgntStrts: ,30, EstInteractns: ,981, InteractnsHndld: ,981, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.67, Tmestmp: ,9/29/2023 7:11:32
 AgntStrts: ,20, EstInteractns: ,988, InteractnsHndld: ,974, HndlTme: ,9.9, ASR: ,55.45, EstUtil: ,1.0, Tmestmp: ,9/29/2023 7:11:35
 AgntStrts: ,21, EstInteractns: ,988, InteractnsHndld: ,976, HndlTme: ,9.9, ASR: ,30.11, EstUtil: ,1.0, Tmestmp: ,9/29/2023 7:11:39
